Departments,Base Pay,Overtime Pay,Leave Buy Back,Other Pay,Total
UNIVERSITY OF MASSACHUSETTS SYSTEM (UMS),1460552827.13,14308611.91,8400301.35,73465017.69,1556726758.08
Massachusetts Bay Transportation Authority (MBT),640358609.94,112024438.55,3235257.56,14303620.76,769921926.81
TRIAL COURT (TRC),561709007.07,4786930.65,4445721.49,1669266.82,572610926.03
DEPARTMENT OF STATE POLICE (POL),294653277.37,68940358.63,3185874.15,43100207.78,409879717.93
MASSACHUSETTS DEPARTMENT OF TRANSPORTATION (DOT),358935017.8,36760089.2,4150093.46,2057890.49,401903090.95
DEPARTMENT OF CORRECTION (DOC),320125643.55,57312503.88,2853025.94,16338644.74,396629818.11
DEPARTMENT OF DEVELOPMENTAL SERVICES (DMR),333612975.72,38900094.55,3238210.95,14385521.38,390136802.6
DEPARTMENT OF CHILDREN AND FAMILIES (DSS),302231182.2,23961226.06,2737183.52,4608889.64,333538481.42
DEPARTMENT OF MENTAL HEALTH (DMH),250260305.75,41151342.37,2352322.59,4803287.28,298567257.99
DEPARTMENT OF PUBLIC HEALTH (DPH),267469214.24,17407945.73,3056745.74,3197262.66,291131168.37
EXECUTIVE OFFICE OF HEALTH and HUMAN SERVICES (EHS),185198153.9,1993239.08,1427592.71,897143.5,189516129.19
DEPARTMENT OF TRANSITIONAL ASSISTANCE (WEL),124989814.83,16206143.65,947206.95,1451263.8,143594429.23
DEPARTMENT OF REVENUE (DOR),120522377.85,519395.42,1745495.98,572716.34,123359985.59
DEPARTMENT CONSERVATION AND RECREATION (DCR),102444947.13,7951853.07,701272.59,597617.25,111695690.04
BRIDGEWATER STATE UNIVERSITY (BSC),101385851.91,942077.74,651341.3,1880341.17,104859612.12
SHERIFF DEPARTMENT HAMPDEN (SDH),87709981.01,3208356.56,1018516.31,5138853.56,97075707.44
Executive Office of Labor and Workforce Development (EOL),93651395.41,254535.74,754286.47,122885.3,94783102.92
SHERIFF DEPARTMENT SUFFOLK (SDS),61277186.44,24039285.04,1492178.36,2092220.08,88900869.92
SALEM STATE UNIVERSITY (SSA),78052612.3,732400.99,625216.42,1534709.13,80944938.84
DEPARTMENT OF ENVIRONMENTAL PROTECTION (EQE),78224917.97,354126.5,1262085.98,582704.65,80423835.1
MASS REHABILITATION COMMISSION (MRC),69201480.53,290906.23,540484.1,452165.12,70485035.98
DEPARTMENT OF YOUTH SERVICES (DYS),53554488.86,9449521.36,1131018.34,782670.71,64917699.27
COMMITTEE FOR PUBLIC COUNSEL SERVICES (CPC),61541380.63,2970.97,626692.46,133309.7,62304353.76
BUNKER HILL COMMUNITY COLLEGE (BHC),59464481.66,523277.07,454388.36,175413.32,60617560.41
WESTFIELD STATE UNIVERSITY (WSC),56301920.81,956826.48,363047.55,520233.34,58142028.18
SHERIFF DEPARTMENT MIDDLESEX (SDM),47311476.69,3920604.23,478197.31,5593731.41,57304009.64
SHERIFF DEPARTMENT PLYMOUTH (SDP),42029799.71,7525800.65,966794.59,2479357.44,53001752.39
WORCESTER STATE UNIVERSITY (WOR),48595653.63,514164.13,554588.62,563913.22,50228319.6
DEPARTMENT OF ELEMENTARY & SECONDARY EDUCATION (DOE),48987787.51,237141.64,630507.4,136318.89,49991755.44
SHERIFF DEPARTMENT ESSEX (SDE),39346797.45,5757424.36,495796.85,3802019.15,49402037.81
FRAMINGHAM STATE UNIVERSITY (FRC),47054747.12,676423,617153.77,921745.87,49270069.76
EXECUTIVE OFFICE OF TECHNOLOGY SERVICES AND SECURITY (ITD),46779741.15,1392312.63,358987.46,360920.67,48891961.91
ATTORNEY GENERAL OFFICE (AGO),48391783.84,23694.84,248763.98,123509.76,48787752.42
QUINSIGAMOND COMMUNITY COLLEGE (QCC),46584986.28,797834.43,288208.31,147902.02,47818931.04
FITCHBURG STATE UNIVERSITY (FSC),46013227.83,355387.98,421727.53,363314.09,47153657.43
HOUSE OF REPRESENTATIVES (HOU),40427501.4,0,244498.86,5560195.32,46232195.58
SHERIFF DEPARTMENT WORCESTER (SDW),35038426.41,5688521.35,643870.72,1436028.68,42806847.16
EXECUTIVE OFFICE OF HOUSING AND LIVABLE COMMUNITIES (OCD),40441616.43,93794.14,234149.16,219511.95,40989071.68
BRISTOL COMMUNITY COLLEGE (BRC),39490044.39,143960.74,257601.58,128101.42,40019708.13
MIDDLESEX COMMUNITY COLLEGE (MCC),38350128.06,207583.03,302331.65,120696.71,38980739.45
MASSACHUSETTS COLLEGE OF ART AND DESIGN (MCA),37091932.51,885764.8,294445.4,241383.39,38513526.1
CAPITAL ASSET MANAGEMENT and MAINTENANCE DIVISION (DCP),35290200.1,489647.99,634005.35,216911.92,36630765.36
LOTTERY AND GAMING COMMISSION (LOT),34677347.01,1163397.01,556342.61,80910.95,36477997.58
SHERIFF DEPARTMENT BRISTOL (BSD),28123066.53,6490886.49,449968.48,1381170.23,36445091.73
NORTH SHORE COMMUNITY COLLEGE (NSC),35426132.04,397113.82,342946.97,124004.93,36290197.76
EXECUTIVE OFFICE OF ENVIRONMENTAL AFFAIRS (ENV),33298415.54,1075016.89,661737.61,884977.43,35920147.47
MILITARY DIVISION (MIL),33153262.95,1141986.15,107932.73,231889.31,34635071.14
NORTHERN ESSEX COMMUNITY COLLEGE (NEC),33806265.77,71609.12,227336.28,131463.9,34236675.07
HOLYOKE COMMUNITY COLLEGE (HCC),32928539.18,411434.92,158367.27,467498.59,33965839.96
MASSASOIT COMMUNITY COLLEGE (MAS),32444699.53,299207.31,434125.13,273723.88,33451755.85
SPRINGFIELD TECH COMM COLLEGE (STC),32547880.2,255010.32,209877.06,147440.87,33160208.45
MT WACHUSETT COMMUNITY COLLEGE (MWC),30088952.13,131137.04,477467.37,166944.56,30864501.1
MASS BAY COMMUNITY COLLEGE (MBC),29031037.89,245408.88,118129.47,73083.85,29467660.09
SHERIFF DEPARTMENT BARNSTABLE (SDC),21810298.31,5002339.4,699211.39,1135183.33,28647032.43
EXECUTIVE OFFICE for ADMINISTRATION and FINANCE (ANF),26664327.58,346467.78,265149.52,138651.05,27414595.93
DEPARTMENT OF EARLY EDUCATION & CARE (EEC),26302175.03,365433.44,255872.83,152535.55,27076016.85
DEPARTMENT OF FISH AND GAME (FWE),26557201.87,84405.73,220114.24,198702.31,27060424.15
SECRETARY OF STATE (SEC),25867798.85,128639.31,244988.17,6000,26247426.33
SHERIFF DEPARTMENT NORFOLK (SDN),20353142.89,3777448.16,1013163.69,759373.01,25903127.75
VETERANS' HOME IN CHELSEA (CHE),20785185.67,2963219.09,336662.47,598168.91,24683236.14
SENATE (SEN),21826042.03,0,98360.18,2666476.48,24590878.69
MASSACHUSETTS MARITIME ACADEMY (MMA),23453768.05,357642.43,227017.47,384601.85,24423029.8
Division of Occupational Licensure (REG),22228247.87,974687.39,141717.52,32146.32,23376799.1
CAPE COD COMMUNITY COLLEGE (CCC),23028227.71,47016.51,133230.38,87718.34,23296192.94
OFFICE OF THE STATE TREASURER (TRE),20976232.41,948677.95,44652.88,66298.84,22035862.08
